Timeframe,vg_v_x_point1,vg_v_y_point1,vg_v_z_point1,vg_v_x_point2,vg_v_y_point2,vg_v_z_point2,vg_v_x_point3,vg_v_y_point3,vg_v_z_point3,vg_v_x_point4,vg_v_y_point4,vg_v_z_point4,vg_v_x_point5,vg_v_y_point5,vg_v_z_point5,vg_v_x_point6,vg_v_y_point6,vg_v_z_point6,vg_v_x_point7,vg_v_y_point7,vg_v_z_point7
1426,-416519.44154238445,-381620.3870124434,-223602.60429083963,-312993.6662779249,-363982.1197136976,-120994.3322276022,-74512.49313485748,-46862.64584906688,-75359.21706198652,-394115.9373157898,-384359.5728129543,-76522.75979813412,-408864.9305408315,-378070.3066047325,-202256.43355460337,-391427.4536676587,-370805.5526995244,-199424.23382158534,-415618.9600572905,-381294.38714282017,-209072.43189395778
1427,-417179.7205321527,-380647.5834046123,-215413.40238021707,-310688.62090041506,-363548.7232319409,-119372.29183660704,-72897.10013874497,-51813.25873730273,-74864.87754480496,-392872.86437565804,-384242.2358619979,-75564.23848701293,-408358.3107400265,-375620.7704991868,-194397.07016015906,-392397.0186963475,-370361.500241563,-191696.43015639228,-415363.894735758,-379433.6463592637,-201316.44022880797
1428,-417206.08430410066,-379529.6388546473,-207424.12994832353,-308258.57482690655,-362637.0407112598,-118444.8559045504,-70718.56741488159,-56491.91531235978,-73698.71435992203,-391473.5243982178,-384256.6626661385,-75082.7248418294,-407313.97835686966,-373006.45509872516,-186783.55657436006,-392694.7851789184,-369873.52105641004,-184144.03550630878,-414362.91245235165,-377302.7103106872,-193359.02474699172
1429,-416741.6634189597,-377948.962525484,-199526.3179026144,-305639.25953249517,-361502.8467278744,-118153.83648629645,-68377.58193426285,-60785.49393843248,-71935.46267807354,-389986.7398558413,-384405.43942043284,-74988.37478722434,-406010.3329199539,-370235.8372451486,-179384.81844352215,-392515.4188958284,-368996.26883599936,-176447.25149153112,-413155.3669709286,-374693.0477929906,-185342.75286076646
1430,-415920.64804255526,-375680.4127769574,-191392.31563326184,-302938.9558765475,-360291.5418611831,-118341.37095166958,-66116.79585061707,-64726.542092780786,-69659.23860676649,-388378.8765652771,-384656.6163715076,-75197.61622090678,-404605.52775696677,-367413.61959039344,-172004.13392725718,-392161.1968787804,-367504.01020414295,-168425.57758002222,-411870.22842718416,-371613.7672843196,-177193.42612229186
1431,-415009.3473526061,-372888.0450089696,-183330.2620293244,-300386.9226394685,-358965.5684390218,-118932.58702259639,-64132.761561812855,-68194.29991631143,-67104.33608125149,-386657.7794920317,-384967.0209464849,-75638.4390368892,-403062.2690466973,-364736.16440568917,-164856.2489196576,-391718.1357073572,-365650.74139420653,-160411.26914124985,-410492.4592473217,-368364.98307757487,-169343.5692298825
1432,-413980.5337444793,-369871.57394420146,-175629.80111040562,-297999.87614846707,-357466.9246858989,-119914.19572307116,-62229.70158660575,-71239.33942597627,-64514.872056796514,-384820.26592231565,-385275.24676794646,-76199.90103726534,-401247.6833381371,-362306.08277144295,-158124.8236310321,-391084.4922451997,-363628.93770741846,-152790.00319766463,-408951.57809371006,-365026.5322200217,-162165.6320050168
1433,-412696.05690901907,-366925.97118686663,-168510.7608701297,-295788.3144219286,-355808.4219307242,-121227.15148661495,-60183.69844902202,-73912.40428343379,-62094.92698455187,-382890.4368339208,-385492.8884580653,-76797.9050718977,-399160.5509668592,-360267.0750379897,-152079.8078473821,-390133.56541951076,-361616.17797755194,-145937.9732864391,-407165.9899317109,-361835.769581732,-155871.4160722557
1434,-411058.23407082167,-364089.539282488,-161766.8194930664,-293740.0175740081,-353960.56485964323,-122813.65045095386,-57967.56460009854,-76389.70135239168,-59862.83655485971,-380816.2167331869,-385568.45872534474,-77381.50630969196,-396779.4197689456,-358732.6314611744,-146604.00022076568,-388773.89612845023,-359723.75840271654,-139615.29596677842,-405008.8105126335,-358925.63589844736,-150181.61551947985
1435,-409125.5921995485,-361555.28486343764,-155467.07176100806,-291968.23778198287,-351925.337158852,-124612.1409836573,-55589.952772090895,-78587.42103162846,-57884.024922133365,-378629.5318403378,-385481.181973409,-77840.19743825663,-394199.2726863029,-357802.56450684345,-141749.001708502,-387103.19934350916,-358105.58610781276,-133785.79596414772,-402483.9234643314,-356524.935711861,-145065.2408349251
1436,-406962.9459715212,-359504.03033151693,-149740.79909954226,-290471.4856032175,-349663.2419675493,-126657.53943323025,-53146.821965149145,-80292.4808406558,-56141.20525780315,-376378.71369506465,-385244.64966213965,-78109.63466001139,-391536.32311313803,-357492.00488658197,-137558.7648269472,-385229.6649070097,-356884.25748213823,-128479.02413608627,-399652.57511912915,-354766.3253996163,-140553.86858001244
1437,-404479.9399946103,-357989.26823179016,-144491.22358856225,-289140.62308363157,-347145.65507498645,-129035.47301972195,-50733.39154130248,-81469.37145486032,-54533.36926323148,-374031.6044724899,-384840.7031813187,-78185.61219582254,-388825.41266750364,-357720.6605009455,-133933.49290299538,-383138.9232919736,-356140.9878160607,-123525.27060876998,-396455.7229431895,-353686.33213414426,-136531.21838864926
