Timeframe,vg_v_x_point1,vg_v_y_point1,vg_v_z_point1,vg_v_x_point2,vg_v_y_point2,vg_v_z_point2,vg_v_x_point3,vg_v_y_point3,vg_v_z_point3,vg_v_x_point4,vg_v_y_point4,vg_v_z_point4,vg_v_x_point5,vg_v_y_point5,vg_v_z_point5,vg_v_x_point6,vg_v_y_point6,vg_v_z_point6,vg_v_x_point7,vg_v_y_point7,vg_v_z_point7
1370,-993970.5911767376,-291666.5078717663,308746.1449534654,-685073.1583779802,19977.93330519134,215964.25372376302,-810594.4713066509,-169582.63478530615,126078.73600693984,-553161.2508910117,70003.43412559107,-109557.75033460963,-992801.5178775319,-319241.87469537085,322247.47932953644,-1000904.7861308826,-256292.4707574002,306136.70978804294,-1066177.0777335726,-221542.3781802533,286281.535750254
1371,-1003947.1095037782,-264497.8957473645,316932.39846294466,-676682.7801649874,35746.68669954211,201559.63391854474,-797773.5628258702,-132620.31300388748,140964.13197642934,-544458.4774473333,72468.17961455254,-103604.00161704516,-998541.217841906,-307962.6131185517,340231.3267526744,-1014792.4818987307,-241357.334363866,316790.03124010394,-1066036.3681741627,-209593.49769575775,301063.7452883219
1372,-1010387.1387977393,-257679.57024959713,334675.8835792869,-668316.0216495442,51917.093630547475,185146.60733976218,-780268.7070158904,-100086.77838271706,156116.92979489942,-538580.2763616743,74631.5373171421,-98181.59225730281,-996666.5365389299,-297785.01671458385,350827.00594046625,-1017243.5932729143,-243445.8028807411,326513.63884086243,-1059279.0362013157,-219213.27124948296,313729.9609149967
1373,-1008993.9573494107,-260472.81587270944,345162.731962794,-660120.4278115979,67836.11308840195,166413.6466858267,-757463.9745451818,-72650.62712283175,168241.94134498283,-535657.7925490934,76391.31431320225,-93506.61107330609,-989679.343586245,-286273.78825845243,353619.7111826574,-1009981.3979066296,-249152.2212017141,330037.4188244709,-1047582.436834465,-232629.67934917286,317603.48974392854
1374,-1001355.8469920671,-261063.71253612934,345696.36262379284,-652575.5501563183,81099.72349172772,146767.23207457174,-727961.8767833555,-47475.35256389139,173916.06740173895,-534101.3274915535,77455.91154647751,-89832.37333083512,-979712.5226940706,-274917.7947214915,354719.7772735953,-997033.0088599067,-250474.47664853113,331538.67453006544,-1034316.5221791547,-239550.75286985922,314451.0618697023
1375,-991172.1024820348,-257911.67899763875,342323.9887553749,-645592.7886868492,88613.49017638661,129043.77155178902,-691699.517627482,-22840.909558210464,169730.51572110693,-532059.9641148564,77601.00062857199,-87436.79044903106,-967455.9820539254,-262422.08641392493,354450.81400631927,-981350.6923522581,-246140.63551082063,333383.9734225412,-1022376.719032511,-237722.15993091118,307830.9563393645
1376,-979720.32993015,-251525.0505427969,338728.78385746304,-638995.3084818796,90381.24383136252,114079.26427899906,-649439.1645539955,3683.185566240993,156715.24863397292,-527331.3039452595,76549.42645376844,-86267.19171744131,-953438.4562068712,-248612.99447374887,352135.21954210167,-965148.7718662089,-237880.7733849061,334477.2160437072,-1010549.2226070932,-230724.36915870063,299513.11424834694
1377,-966605.842964422,-243123.44574257865,335059.02441759995,-633215.496359275,87413.07772400531,101025.77301793572,-602883.3793970268,32653.905215181243,139049.6275735191,-518470.512419841,73633.57266015808,-86107.55777341411,-938296.9868424893,-233614.84162434022,348117.18400473346,-949146.2516162178,-228258.7455537264,334686.2438723098,-998262.741013392,-221584.42267581532,291116.17701135576
1378,-952895.4514639606,-233668.149011561,331771.81958251185,-629013.1744282227,81065.53350059809,90215.23019008839,-557854.7632754821,60286.969004046834,120680.8147946795,-505541.8032297039,68768.87922134332,-86758.41177682928,-923176.997751394,-217908.6900030796,343390.49344667053,-934770.90241973,-218594.36161406562,334208.41388084326,-986265.0951074243,-211773.04307559223,284781.71655269153
1379,-939338.4476801752,-223489.97614847615,329692.29359791864,-625469.5774824955,72924.89459088554,81252.09017260768,-517698.82888546295,84544.92496275804,102944.07774998658,-489003.1430772038,61334.91724001053,-87702.8246505915,-909155.3023435227,-201387.38734690336,339054.02298253763,-922623.4037010767,-207164.52747027966,333556.9412201952,-973530.5332621072,-201433.8820817157,282124.60056904046
1380,-926111.4749940515,-212131.3794787939,329611.7998140604,-622656.6037483192,64376.81918867815,73265.0254772819,-485177.4749413334,104262.6402279955,87748.79945860342,-470471.10043883306,52745.549010044386,-88649.43585263843,-896830.4167098431,-183778.1833088482,335152.5202468368,-912024.9439787832,-191257.9768736128,332360.25045335357,-959561.6500973192,-188548.13769101555,283645.3164772855
