Timeframe,sc1_vg_B_x,sc1_vg_B_y,sc1_vg_B_z,sc2_vg_B_x,sc2_vg_B_y,sc2_vg_B_z,sc3_vg_B_x,sc3_vg_B_y,sc3_vg_B_z,sc4_vg_B_x,sc4_vg_B_y,sc4_vg_B_z,sc5_vg_B_x,sc5_vg_B_y,sc5_vg_B_z,sc6_vg_B_x,sc6_vg_B_y,sc6_vg_B_z,sc7_vg_B_x,sc7_vg_B_y,sc7_vg_B_z
1362,-7.738092818462664e-09,1.7035725017328877e-09,-5.831102039634552e-10,8.897043260703798e-09,-1.2295086625569278e-09,-1.9522471772038318e-09,-5.007723124325597e-09,-2.1871683051269806e-10,4.0945197400944747e-10,-7.193411747602011e-09,1.8961359472884272e-10,-8.298591835983667e-11,-5.9814726428285526e-09,1.3104687253228928e-09,-7.55515189778134e-10,-8.154672501163576e-09,1.9489360782336e-09,-5.450526571933058e-10,-8.843780171528166e-09,1.6938236430736401e-09,-8.787748153472174e-10
1363,-7.957595070797681e-09,1.8207830350686274e-09,-7.49582636723637e-10,8.800092975793957e-09,-1.3129354062615939e-09,-2.2957379987663184e-09,-4.0446956847186105e-09,-4.6559288950787773e-10,-6.663727874164884e-13,-7.3010610092462546e-09,1.7034738843745615e-10,-9.362494294323196e-11,-6.292491696847281e-09,1.3527153578930825e-09,-8.326979799979416e-10,-8.125964371869372e-09,1.9806444815386105e-09,-5.713187440112528e-10,-9.094793960178219e-09,1.77853263298634e-09,-9.57905160723248e-10
1364,-8.075712066587669e-09,1.8635443334039582e-09,-7.89585149438787e-10,8.744201455926712e-09,-1.4122337654036889e-09,-2.4847782441349446e-09,-3.229947631872312e-09,-6.388627494747554e-10,-3.7707688343970946e-10,-7.379923896864495e-09,1.203379441692772e-10,-9.836128171922407e-11,-6.407287629336665e-09,1.2106789848981163e-09,-8.000817191878265e-10,-8.007463714226389e-09,1.8399863103909318e-09,-5.712304321471926e-10,-9.296043366522374e-09,1.7371998063980167e-09,-9.29071773281691e-10
1365,-8.102083220167562e-09,1.7231600394000027e-09,-7.615136006473947e-10,8.733276589199971e-09,-1.4965457162778712e-09,-2.539262234866927e-09,-2.6174685974386138e-09,-7.586531477875564e-10,-7.211199014297227e-10,-7.427329514514928e-09,6.712136601930197e-11,-1.1591553872475219e-10,-6.356110863566618e-09,7.862979238672457e-10,-7.312652353812863e-10,-7.824126530760389e-09,1.4593216856139947e-09,-5.899733613845605e-10,-9.440816574763855e-09,1.4728528688527831e-09,-8.663492539755741e-10
1366,-8.055366547314444e-09,1.331757999967185e-09,-7.251493678810098e-10,8.766326223790737e-09,-1.5428797525561577e-09,-2.505736514450762e-09,-2.231805003030138e-09,-8.421257869186777e-10,-1.0041858572692415e-09,-7.455881241901093e-09,3.125806671939329e-11,-1.5034093090411363e-10,-6.221798887821995e-09,1.1029302573664941e-10,-6.820644316740159e-10,-7.635479919757966e-09,8.86514095355741e-10,-6.57694981305379e-10,-9.530224573937673e-09,9.800638915016446e-10,-8.185582847250691e-10
1367,-7.981383511087944e-09,7.169353748528061e-10,-7.175535480729915e-10,8.829440131398824e-09,-1.5465425087020353e-09,-2.4287680830954114e-09,-2.064203802808806e-09,-9.130153934533256e-10,-1.2330268084859713e-09,-7.486354654119166e-09,2.1447870055952732e-11,-1.953645240041658e-10,-6.098415429640776e-09,-7.031833369556974e-10,-6.898636334404174e-10,-7.50880697453653e-09,2.0574481670531017e-10,-7.859175268101718e-10,-9.586359949249819e-09,3.262249431114584e-10,-8.187684966490082e-10
1368,-7.944200653123934e-09,-1.2054825934129185e-11,-7.673616013338958e-10,8.91098450034936e-09,-1.5086807211007316e-09,-2.331295909476221e-09,-2.1055590097139463e-09,-9.71605850897654e-10,-1.414303600019044e-09,-7.53880164256755e-09,3.839826419029278e-11,-2.434208918160403e-10,-6.062632946933722e-09,-1.4892809983591958e-09,-7.897394695115677e-10,-7.477105261431018e-09,-4.741375233095756e-10,-9.593142499866654e-10,-9.619434783834118e-09,-3.550508861044036e-10,-8.8387442362909e-10
1369,-7.96881475773965e-09,-7.24456302204963e-10,-8.81385725155751e-10,9.001051727177116e-09,-1.43690454844839e-09,-2.2235120169258397e-09,-2.331398148343127e-09,-1.023021410310667e-09,-1.5660600130310103e-09,-7.624581152493597e-09,7.660113268970195e-11,-2.8919497980098584e-10,-6.117433606728871e-09,-2.1002196942143964e-09,-9.539483718119412e-10,-7.518710520865722e-09,-1.0576576825936375e-09,-1.1376967294658268e-09,-9.633152141250968e-09,-9.468851347382566e-10,-9.809696482009443e-10
1370,-8.038359478449933e-09,-1.3398695571635118e-09,-1.0255315187785086e-09,9.096414093272238e-09,-1.331851307914053e-09,-2.1115833750301728e-09,-2.7167117653474276e-09,-1.0809675219707317e-09,-1.6975125616494514e-09,-7.755669822397297e-09,1.4002172392134809e-10,-3.3975329531669994e-10,-6.231157267735776e-09,-2.490139068327745e-09,-1.0916644168692645e-09,-7.608277775526786e-09,-1.5200148292261496e-09,-1.2598629862100287e-09,-9.620521798282792e-09,-1.400372581246065e-09,-1.0636535912303983e-09
1371,-8.123224663687621e-09,-1.7878121950604795e-09,-1.1290651684691942e-09,9.189616754240877e-09,-1.2068860484848708e-09,-2.003913498367693e-09,-3.215885298090304e-09,-1.1539760829618018e-09,-1.7966069489497998e-09,-7.935784531386675e-09,2.2095318149912054e-10,-3.9535637790626563e-10,-6.3671496454964166e-09,-2.6774346931609106e-09,-1.1398328240708297e-09,-7.728766921143887e-09,-1.852366107840204e-09,-1.3016418263439607e-09,-9.589114695547501e-09,-1.699889406475302e-09,-1.0964248395166576e-09
1372,-8.215107557888692e-09,-2.082088223139975e-09,-1.1590216262406658e-09,9.277959524713325e-09,-1.07892888198527e-09,-1.908286044598398e-09,-3.798391049846661e-09,-1.2487047346524246e-09,-1.8606140133294592e-09,-8.17069215925869e-09,3.009002191287034e-10,-4.6288544045506607e-10,-6.510963575871953e-09,-2.734816018028714e-09,-1.1118851984002965e-09,-7.869068832665663e-09,-2.087812709303203e-09,-1.2842761709271796e-09,-9.553045457186949e-09,-1.8833032895446618e-09,-1.086529748008641e-09
