Timeframe,sc1_vg_B_x,sc1_vg_B_y,sc1_vg_B_z,sc2_vg_B_x,sc2_vg_B_y,sc2_vg_B_z,sc3_vg_B_x,sc3_vg_B_y,sc3_vg_B_z,sc4_vg_B_x,sc4_vg_B_y,sc4_vg_B_z,sc5_vg_B_x,sc5_vg_B_y,sc5_vg_B_z,sc6_vg_B_x,sc6_vg_B_y,sc6_vg_B_z,sc7_vg_B_x,sc7_vg_B_y,sc7_vg_B_z
1439,1.8235381487247773e-09,3.746832932538735e-09,-2.449290912406093e-09,3.234591528996756e-09,-1.974277436794769e-09,1.9249575704698137e-08,1.2694174619675339e-09,-9.042257668954876e-09,3.4434743152384534e-08,-3.281812533980365e-09,4.754939432050598e-09,-2.6584287481991046e-08,1.2940901976367052e-09,2.5538938638166734e-09,1.935046621644837e-09,7.767885738628439e-10,1.521353319475794e-09,6.424348134462378e-09,1.5409725961780204e-09,4.641607047490608e-09,-6.810578532756502e-09
1440,1.6364776789111796e-09,3.481351128923049e-09,-1.86419503150254e-09,3.4503026007980986e-09,-1.8801416974438806e-09,1.8812290066083012e-08,1.2517080899957942e-09,-8.97758038082167e-09,3.454002574433837e-08,-3.303540274900753e-09,4.564207500328917e-09,-2.668004749033396e-08,1.1733156117003778e-09,2.3035320838489433e-09,2.651809656095448e-09,6.796376691701397e-10,1.2801650297453786e-09,7.176546753766786e-09,1.3015260217657603e-09,4.333401847094811e-09,-6.246062357495574e-09
1441,1.455065502118418e-09,3.212018139601856e-09,-1.2506722493942785e-09,3.6526100748079194e-09,-1.8062973694092528e-09,1.8330974373324347e-08,1.237201664802249e-09,-8.911769733585727e-09,3.4646868433833563e-08,-3.292064081918163e-09,4.3612506024390105e-09,-2.6779477815504393e-08,1.0737486645922255e-09,2.069925210849247e-09,3.3316554310038285e-09,5.880702929927095e-10,1.0446595291008906e-09,7.922563197796037e-09,1.0751809781484476e-09,4.026123491612546e-09,-5.680442899455272e-09
1442,1.2874056510883872e-09,2.9467069230373906e-09,-6.374046325485063e-10,3.835192641840815e-09,-1.755205003656539e-09,1.782001054866426e-08,1.2265095299966234e-09,-8.846083114016523e-09,3.475061368757121e-08,-3.2495490991249822e-09,4.150952702691555e-09,-2.6879801938187122e-08,1.0001968340739887e-09,1.8617389044885867e-09,3.943683566138084e-09,5.106060658761151e-10,8.25288023193193e-10,8.628943947813821e-09,8.705616406764003e-10,3.7272782315381876e-09,-5.143037681517661e-09
1443,1.1398683491596031e-09,2.6938343422076883e-09,-5.3138924533079553e-11,3.991745597677692e-09,-1.728569130688077e-09,1.729602861243779e-08,1.2204686226319238e-09,-8.782123409751449e-09,3.4847857690922644e-08,-3.180443118448122e-09,3.938268262280614e-09,-2.6976980613427167e-08,9.5355087788343e-10,1.6843514143591665e-09,4.465098995998874e-09,4.526873371228099e-10,6.311579551327144e-10,9.267396625545783e-09,6.938748166427042e-10,3.4448626409560295e-09,-4.6603356410454865e-09
1444,1.0120357504705645e-09,2.4519559853004255e-09,4.975367002373177e-10,4.121788722510129e-09,-1.7270287252407608e-09,1.6755224232220126e-08,1.2200520929074304e-09,-8.71788245072907e-09,3.494044449923033e-08,-3.086306262085584e-09,3.719407716143567e-09,-2.7070179755767362e-08,9.315579659435306e-10,1.534826472978832e-09,4.897606494041299e-09,4.1515948092969187e-10,4.6278844758760357e-10,9.838993427618936e-09,5.42851936122264e-10,3.1758046721268423e-09,-4.237742645230037e-09
1445,9.079982325812441e-10,2.2289851623851084e-09,9.894646143602318e-10,4.220044774330545e-09,-1.7508423939906737e-09,1.621325548179202e-08,1.2271968372567757e-09,-8.653588649364174e-09,3.5027124988322344e-08,-2.9706001417813184e-09,3.4978314301444696e-09,-2.715479887706339e-08,9.330681165368635e-10,1.4152156339552054e-09,5.225733260641629e-09,3.9889576450999536e-10,3.261788042904198e-10,1.0323500443506866e-08,4.2072377598438457e-10,2.927343964477862e-09,-3.896484374040952e-09
1446,8.288194044737115e-10,2.028234915777955e-09,1.407628704608223e-09,4.284888005685129e-09,-1.797849360286535e-09,1.5677256826305933e-08,1.2442118483779637e-09,-8.588915590349904e-09,3.510931906469543e-08,-2.836675598344049e-09,3.273908774988151e-09,-2.7227025752373284e-08,9.56269476775175e-10,1.3224013347097594e-09,5.443183664734252e-09,4.0229390520750036e-10,2.2239265086331058e-10,1.071208462360659e-08,3.271569253323344e-10,2.7020985385941587e-09,-3.647925672507691e-09
1447,7.747170656618825e-10,1.8534547793211827e-09,1.735979088040694e-09,4.31568571448015e-09,-1.8633194895540423e-09,1.5158151357634404e-08,1.272614899408809e-09,-8.525321136655144e-09,3.518643141328585e-08,-2.6892546807527945e-09,3.050891478445683e-09,-2.728231296893495e-08,9.98070534055449e-10,1.2527652301583872e-09,5.544541871182611e-09,4.219518143713708e-10,1.513667531966828e-10,1.099477972921214e-08,2.606295897808442e-10,2.5030265665248455e-09,-3.5014119419891446e-09
1448,7.43092261871117e-10,1.7005236837705151e-09,1.9733873748005952e-09,4.314374607316722e-09,-1.9447165513486175e-09,1.4644718498317703e-08,1.3142291208935376e-09,-8.461421860263844e-09,3.52612295358539e-08,-2.5261930059872905e-09,2.823270247088206e-09,-2.731915151339854e-08,1.0564678532592884e-09,1.2002342128521217e-09,5.529689822996644e-09,4.551833558755583e-10,1.0957261914166852e-10,1.1173911592980623e-08,2.165572877718518e-10,2.324509705013419e-09,-3.457922749220774e-09
1449,7.335815610232902e-10,1.570764914112902e-09,2.108595788585749e-09,4.283182411294714e-09,-2.037637849654472e-09,1.4144004934539592e-08,1.3679928657974945e-09,-8.399788919460213e-09,3.533187164426296e-08,-2.351737650747654e-09,2.5948583849494196e-09,-2.7333162778569732e-08,1.127955833019425e-09,1.1610969548812856e-09,5.3973547684394854e-09,5.000550897154159e-10,9.486608838632342e-11,1.1243068065389883e-08,1.9469291716290989e-10,2.166956401745497e-09,-3.5213976595537027e-09
1450,7.443715034902821e-10,1.4630196277011817e-09,2.138814378626435e-09,4.226383862170006e-09,-2.137748789773021e-09,1.3660726006278123e-08,1.4316502230462538e-09,-8.344050328733495e-09,3.5396478141575034e-08,-2.1702016478929207e-09,2.369931195641338e-09,-2.7321695208335248e-08,1.2094930599093616e-09,1.131791503722359e-09,5.155935140655619e-09,5.547971646094848e-10,1.0195485314927371e-10,1.1204767211123563e-08,1.931660366889845e-10,2.0274557439999675e-09,-3.687461988055723e-09
1451,7.74014256591842e-10,1.371281285322377e-09,2.0649344085431284e-09,4.146378030006401e-09,-2.2448779755332093e-09,1.3179765689530824e-08,1.5049119142724705e-09,-8.296626097047233e-09,3.5455144656135665e-08,-1.9791203038025784e-09,2.144153889119608e-09,-2.7281685317735255e-08,1.3013283768019664e-09,1.1075689353620634e-09,4.806843639771331e-09,6.212788897091103e-10,1.2489369056823812e-10,1.1062511177638874e-08,2.1055528920084313e-10,1.898583958069487e-09,-3.95656527952135e-09
1452,8.201408300436983e-10,1.292585954293954e-09,1.888554071208887e-09,4.048690446549677e-09,-2.3551984736510246e-09,1.270414150055066e-08,1.5846533203757056e-09,-8.26091157060728e-09,3.550515044197572e-08,-1.7831393686083637e-09,1.921403590036287e-09,-2.7211248867633196e-08,1.4013449958949193e-09,1.0835341885892802e-09,4.361905374322216e-09,6.992526057511655e-10,1.575973107538938e-10,1.0822453073804932e-08,2.4507166118468674e-10,1.7771755289172038e-09,-4.321750107461561e-09
1453,8.798389042537349e-10,1.2230702347246021e-09,1.6141700525730626e-09,3.938326458467063e-09,-2.4661439799788733e-09,1.2231359112019102e-08,1.6688050580368974e-09,-8.239630346394626e-09,3.554646708649555e-08,-1.585289826339197e-09,1.7026399732586361e-09,-2.7109361483581695e-08,1.5090722100801854e-09,1.0554350280245837e-09,3.8311646332460995e-09,7.900280589964426e-10,1.9381372863208234e-10,1.0491363647545033e-08,2.94616625896663e-10,1.659653233439669e-09,-4.775850224748559e-09
1454,9.501359385359287e-10,1.160675126803017e-09,1.252780838612016e-09,3.821624643677569e-09,-2.5736437845606038e-09,1.176584216833237e-08,1.7538690099790738e-09,-8.231945385035885e-09,3.557840360792139e-08,-1.3910326618425599e-09,1.491690125844701e-09,-2.6977643687721535e-08,1.620368081445147e-09,1.0225644005371744e-09,3.2334671161589322e-09,8.920268838940268e-10,2.280801483379536e-10,1.0081569845184436e-08,3.568894017562406e-10,1.546133213981132e-09,-5.302613019945618e-09
1455,1.0303417635014704e-09,1.099591978197639e-09,8.022461224626929e-10,3.6994493340377703e-09,-2.678003427434375e-09,1.1295099186587218e-08,1.838300311284129e-09,-8.237546399840766e-09,3.5602155580763154e-08,-1.197637531369157e-09,1.2843285077725433e-09,-2.6813112043272166e-08,1.7339525847548038e-09,9.812720497905253e-10,2.564754898868794e-09,1.0063924527027262e-09,2.574218579238714e-10,9.589431272701459e-09,4.3029287255788966e-10,1.4302561597923339e-09,-5.904595128828356e-09
1456,1.116800280732828e-09,1.0370906153657054e-09,2.756102067988154e-10,3.576778712018267e-09,-2.775716996194227e-09,1.0824725597467225e-08,1.9196047577742125e-09,-8.254017474421982e-09,3.561713540672501e-08,-1.0094172574373269e-09,1.0849214160977065e-09,-2.661928093983865e-08,1.8445229396652793e-09,9.309176772751066e-10,1.845191282645257e-09,1.1292870310787886e-09,2.787656951279628e-10,9.028476732140458e-09,5.101363639576521e-10,1.3117057865854727e-09,-6.562270058365496e-09
1457,1.2052604800654681e-09,9.691951455365525e-10,-3.0860741472979886e-10,3.45891615013391e-09,-2.864768872534464e-09,1.035964861554386e-08,1.994557458077762e-09,-8.27706833049746e-09,3.5622282376306725e-08,-8.302629267917699e-10,8.967659754938708e-10,-2.6402861435222324e-08,1.947439433511546e-09,8.658136512769744e-10,1.098531353975321e-09,1.256217004221953e-09,2.882948307080381e-10,8.418191258807508e-09,5.911853647831057e-10,1.1890894641424638e-09,-7.251800789716237e-09
1458,1.2940422775102997e-09,8.913081504854925e-10,-9.534404592009003e-10,3.3456985875483337e-09,-2.9458530995615383e-09,9.885989854898455e-09,2.064930962957015e-09,-8.305662591823904e-09,3.561788148292808e-08,-6.556246984376176e-10,7.164712200288839e-10,-2.616347325041392e-08,2.0433428420996077e-09,7.816936880840357e-10,3.198049014642715e-10,1.385095003873527e-09,2.834913136649178e-10,7.75620532428844e-09,6.705535796548481e-10,1.0582212333528484e-09,-7.975923296422328e-09
1459,1.3776767166130697e-09,8.014167846186456e-10,-1.6384797669414862e-09,3.24009380494137e-09,-3.0161868889315446e-09,9.406823334700535e-09,2.1270239939219538e-09,-8.335004538306517e-09,3.5603529756314644e-08,-4.875313169772443e-10,5.482275051227468e-10,-2.5911091994173484e-08,2.1248258131488575e-09,6.781320807652772e-10,-4.673856118427716e-10,1.5080948754808482e-09,2.615650949429847e-10,7.064565541459597e-09,7.415670823614015e-10,9.195659716366669e-10,-8.711053728039464e-09
1460,1.4524761096336597e-09,6.977153610151038e-10,-2.349740472841738e-09,3.142618936867592e-09,-3.0745001628622666e-09,8.917823323835682e-09,2.1793063076188546e-09,-8.364700335802393e-09,3.558260532985977e-08,-3.263970280256278e-10,3.941130097844414e-10,-2.5654514738399395e-08,2.1866795386060813e-09,5.549209504271158e-10,-1.2500806522182605e-09,1.6196983537958293e-09,2.2190793720741836e-10,6.357636564759273e-09,7.999095049459065e-10,7.72618641813245e-10,-9.442931053902624e-09
